id,text,label
2368,[Tråd på /r/SWARJE ](URL,0
511,Hvad sker der lige for den kvinde,0
1253,"AHAHAHAhahahah^hahaha^hahaahhaaa^hhaaahaa  Det er lort, det der...",0
1365,Danskjävlar!,1
106,"JEG ELSKER MIT FÆDRELAND FOR HØJT TIL AT STOPPE MED AT OVERVÅGE DANSKERNE ULOVLIGT - @USER Jesus christ jeg håber ikke at der er nogen der hopper på den. Det er også bare en lorte ordstyrer. @USER holder sig *slet* ikke til spørgsmålet. Hvis @USER ikke vil svare, må ordstyreren stoppe @USER og gå videre til næste spørgsmål. Det kan ikke passe at han skal have lov til at snakke uden om i så lang tid.",1
743,Tænker det er misbrugere der mangler penge til deres lort..,1
2126,"Jeg skreg af grin da jeg så frank. Derefter tænkte jeg ""hvor er svensken?"" ",0
120,Det er vist også mange unge piger det er selv skyld i de skriver til ældre mænd på Facebook om de har lyst til sex og det gør de private beskeder og det er jo ikke alle det kan stå for sådan noget,1
430,Hva fanden er der galt med folk??!!,1
843,"På nuværende tidspunkt ved politiet endnu ikke, hvem gerningsmændene er.",0
2343,Grundlagde Danmark ikke mere eller mindre Norge?,0
1010,"Paraply betyder regnskærm på fransk. Regnvejr som undskyldning for at aflyse? Der må være en anden grund. Måske de horder af antifa og andet afskum, der vil slå Trump ihjel.",1
477,Tænker tilbage til den tid hvor vi alle troede at dansk musik havde ramt bunden med Medinas indholdsløse tekster. Hvorfor skulle de os blive værre...,1
816,##FÆLDER EN TÅRE,0
3232,Analgafler,1
3416,"Fuck...  Hvil i fred, makker.  &#x200B;",1
1876,"Jeg føler, at dette burde være Danmarks superhelt. Hvorfor er det ikke Danmarks superhelt?",0
1132,Hun er sikkert ikke den eneste kvinde som bruger bryster til tjen penge. Der findes nok også andre kvinder der bruger bryster indirekte til kom frem i verden på,1
1810,HVOR ER SVENSKEN?,0
2731,Det kommer vel lidt an på hvilken type plastik?,0
1309,@USER ro og orden i Afrika. tror du selv på den. de har altid ført stamme/ hullabulla krige der nede. og det vil de altid gøre.,1
1792,Man bruger den til at låse svenskere med.  [Her demonstreret på misdæderlig vis på en intetanende national skat.](URL,0
498,"Men når lorte kaj overtager /r/Denmark så er alt bare fest og farver.  I get it, it all makes sense. ",1
2107,"Nu tar Sverige över tråden era jävla Pölse ätande, bastubadande, smörlösa muppar!",0
815,Må man så give dem en på bøtten i stedet for at putte noget i bøtten?,0
2473,Hov? hvad er den af?   Er det mon hjemmebag?  Næ det den søde duft er nederlag!,0
3142,Sød vovse,0
3057,Hun er genial,0
2474,Hvordan ser man forskel på om det er en hund eller en svensker der er blevet kørt over?   Der er bremsespor foran hunden.,1
668,"Som randrussianer, I approve. Værste lort. Butikker kommer og lukker til højre og venstre. Intet kan køre særlig længe",1
